date,next_prevalence,district,GAM Prevalence,actor2_Police Forces of Somaliland (2010-),interaction_12,fatalities,interaction_27,actor2_Al Shabaab,district_encoded,actor1_Police Forces of Somalia (2017-2022),actor1_Military Forces of Somalia (2017-2022),actor2_Military Forces of Somalia (2017-2022)
2018-01-01,0.4695085383288688,Galdogob,0.4004,0.0,0.0,3.0,0.0,0.0,38,0.0,0.0,0.0
2018-01-01,0.5092847348131929,Qansax Dheere,0.2886,0.0,7.0,27.0,4.0,11.0,59,1.0,4.0,0.0
2018-01-01,0.4649012053458273,Qandala,0.3431999999999999,0.0,17.0,110.0,6.0,1.0,58,0.0,0.0,0.0
2018-01-01,0.2505864840856458,Sheikh,0.2028,0.0,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0
2018-01-01,0.3971406259324205,Marka,0.351,0.0,46.0,330.0,26.0,147.0,56,0.0,25.0,4.0
2018-01-01,0.2303423878316652,Owdweyne,0.2028,0.0,0.0,23.0,0.0,1.0,57,0.0,0.0,0.0
2018-01-01,0.2443191130723181,Gebiley,0.1975999999999999,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0
2018-01-01,0.2386485041615721,Hargeysa,0.1975999999999999,15.0,2.0,8.0,0.0,1.0,42,0.0,0.0,0.0
2018-01-01,0.3354148794445133,Hobyo,0.4003999999999999,0.0,2.0,22.0,1.0,4.0,43,0.0,0.0,0.0
2018-01-01,0.4846457772814762,Iskushuban,0.3432,0.0,16.0,99.0,1.0,13.0,44,0.0,0.0,0.0
2018-01-01,0.3858321287337016,Jalalaqsi,0.3925999999999999,0.0,3.0,45.0,2.0,20.0,45,0.0,6.0,1.0
2018-01-01,0.4077438698894172,Jamaame,0.3926,0.0,4.0,42.0,3.0,6.0,46,0.0,0.0,0.0
2018-01-01,0.5170266990935967,Garoowe,0.3795999999999999,0.0,2.0,28.0,0.0,2.0,40,0.0,0.0,0.0
2018-01-01,0.3830459721840857,Jowhar,0.351,0.0,40.0,266.0,17.0,106.0,49,1.0,41.0,4.0
2018-01-01,0.4685498464822668,Kismaayo,0.3925999999999999,0.0,83.0,490.0,17.0,126.0,50,0.0,7.0,0.0
2018-01-01,0.4461179568825337,Kurtunwaarey,0.3510000000000001,0.0,5.0,14.0,1.0,7.0,51,0.0,3.0,0.0
2018-01-01,0.2293654902134254,Laas Caanood,0.2911999999999999,5.0,1.0,62.0,2.0,1.0,52,0.0,1.0,1.0
2018-01-01,0.2261999999999999,Laasqoray,0.3367,0.0,1.0,4.0,1.0,1.0,53,0.0,0.0,0.0
2018-01-01,0.4123022966960434,Luuq,0.3926,0.0,4.0,7.0,6.0,5.0,55,1.0,1.0,0.0
2018-01-01,0.4060356888423295,Jilib,0.3925999999999999,0.0,4.0,145.0,4.0,21.0,48,0.0,1.0,0.0
2018-07-01,0.4133399855287525,Burtinle,0.4927859267135329,0.0,0.0,19.0,0.0,0.0,19,0.0,0.0,0.0
2018-07-01,0.188847667729668,Buuhoodle,0.226129551832888,1.0,0.0,22.0,0.0,0.0,20,0.0,0.0,0.0
2018-07-01,0.47037719442215,Buur Hakaba,0.4846909879180319,0.0,18.0,179.0,3.0,33.0,21,1.0,15.0,1.0
2018-07-01,0.3232371835699271,Cabudwaaq,0.4299665440197571,0.0,0.0,77.0,0.0,0.0,22,0.0,2.0,0.0
2018-07-01,0.3305779447408884,Cadaado,0.4263710655123516,0.0,1.0,31.0,0.0,1.0,23,1.0,3.0,0.0
2018-07-01,0.5231865541625861,Caluula,0.4507637375759017,0.0,2.0,12.0,0.0,2.0,25,0.0,0.0,0.0
2018-07-01,0.3168079047398306,Ceel Buur,0.3602624374798162,0.0,1.0,28.0,2.0,5.0,29,0.0,1.0,0.0
2018-07-01,0.4201611561308622,Ceel Afweyn,0.2906972787612182,2.0,0.0,44.0,0.0,0.0,27,0.0,0.0,0.0
2018-07-01,0.3237222467082124,Ceel Dheer,0.3142399717243435,0.0,0.0,2.0,0.0,1.0,30,0.0,0.0,0.0
2018-07-01,0.3215618498962238,Ceel Waaq,0.2770029164634731,0.0,11.0,87.0,3.0,40.0,31,0.0,10.0,0.0
2018-07-01,0.4231594017049179,Ceerigaabo,0.3096083862495412,5.0,1.0,67.0,0.0,1.0,32,0.0,0.0,0.0
2018-07-01,0.3069711905400723,Dhuusamarreeb,0.3909032104916541,0.0,1.0,91.0,2.0,3.0,33,0.0,3.0,0.0
2018-07-01,0.1770356571398554,Burco,0.2211366753028379,9.0,0.0,7.0,0.0,0.0,18,0.0,0.0,0.0
2018-07-01,0.3464523514753054,Caynabo,0.2428031590674251,0.0,0.0,3.0,0.0,0.0,26,0.0,0.0,0.0
2018-07-01,0.470453127878576,Bulo Burto,0.3908949717937982,0.0,21.0,280.0,12.0,56.0,17,1.0,23.0,1.0
2018-07-01,0.3942170096006928,Bossaso,0.482210605259551,0.0,90.0,416.0,12.0,88.0,15,1.0,0.0,0.0
2018-07-01,0.4383403468241347,Afgooye,0.384859060068862,0.0,179.0,876.0,34.0,271.0,1,7.0,177.0,9.0
2018-07-01,0.2870882907046133,Baardheere,0.2972606382668021,0.0,20.0,206.0,7.0,62.0,3,1.0,16.0,0.0
