prevalence_6lag,covid,ndvi,ipc,cropdiv,population,month,district_encoded
0.132173714024146,3583.0,0.21,0.16,2.0,87386.0,1,69
0.306084466714388,3583.0,0.21166666666666667,0.2,4.0,69851.0,1,53
0.4118061786950391,3583.0,0.48333333333333334,0.14,6.0,78011.0,1,24
0.4244430093639005,3583.0,0.3866666666666667,0.1,7.0,61939.0,1,71
0.4801347611599085,3583.0,0.5116666666666666,0.08,6.0,207773.0,1,73
0.4625835669613974,3583.0,0.2866666666666667,0.13,10.0,231851.0,1,17
0.4933201385452746,3583.0,0.5950000000000001,0.07,5.0,20213.0,1,77
0.1277865307901176,3583.0,0.19999999999999998,0.12,2.0,1044086.0,1,52
0.4505242752665433,3583.0,0.4216666666666667,0.06,5.0,56743.0,1,14
0.1455487847587028,3583.0,0.26,0.18,2.0,71387.0,1,78
0.4556007922535211,3583.0,0.3666666666666667,0.12,10.0,90880.0,1,25
